Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
129,P(O)(O)(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C)[C@H](CC)C)Cc1ccccc1)Cc1ccc(O)cc1,18608376,0.007
130,P(O)(=O)(N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C)CCc1ccccc1,14212864,0.007079
131,S=C(\N=C/1\c2c(N(Cc3ccc(OC)cc3)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145951239,0.00764
132,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H]([C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O)C,54039314,0.0077
133,OC(=O)C1N(CCC1)C(=O)C(NC(CCC(C)C)C(O)=O)C,20445899,0.007943
134,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN2N([C@@H](CCC2)C(O)=O)C1=O,44305370,0.008
135,O=C1N(CCCCCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,13608331,0.0081
136,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1Cc2c(C[C@H]1C(O)=O)cccc2)C)CCc1ccccc1,54892,0.0083
137,S(Cc1ccc(cc1)C(C)C)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586817,0.0084
138,O=C1N(c2c(CC[C@@H]1N[C@@H](Cc1ccccc1)C(O)=O)cccc2)CC(O)=O,13500778,0.008500001
139,Fc1cc(F)c(F)cc1C[C@@H](N)CC(=O)N[C@H]1C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CC)C(O)=O,53354470,0.0086
140,S=C(\N=C/1\c2c(N(C(=O)c3ccccc3)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145963315,0.008841
141,SC[C@H](C(=O)N1[C@@H](CCC1=O)C(O)=O)C,44317203,0.008913
142,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)C)C,44358439,0.0094
143,S=C(\N=C\1/c2c(N(C/1=O)c1ccc(OC)cc1)cccc2)NCc1cc2c(cc1O)cccc2,145951970,0.00982
144,O(Cc1ccccc1)c1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44384727,0.01
145,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N(N(CC(O)=O)C1=O)CCC,44305132,0.01
146,OC(=O)C1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1,335542,0.01
147,O=C1N(CC(O)=O)C(CCCC1NC(CCc1ccccc1)C(O)=O)C,13749504,0.01
148,SC1CCCCC1C(=O)NC(C(=O)N1CCCC1C(O)=O)C,13652520,0.01
149,O=C1N(c2c(CC[C@@H]1N[C@H](C(O)=O)COCc1ccccc1)cccc2)CC(O)=O,18601751,0.01
150,P(O)(=O)(CC(NC(=O)c1ccccc1)Cc1ccccc1)CC(=O)N1CCC[C@H]1C(O)=O,13588381,0.01
151,S=C(\N=C/1\c2c(N(C(=O)C)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145953190,0.01067
152,O=C1N(C(=O)[C@@H](N[C@@H](Cc2ccccc2)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456389,0.011
153,S=C(\N=C/1\c2c(N(CCC)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145952431,0.0118
154,S(CC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)CC(=O)N1CCC[C@@H]1C(O)=O,44386845,0.012
155,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2,9801007,0.012
156,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN2N([C@@H](CC2)C(O)=O)C1=O,44305372,0.012
157,S[C@@H](Cc1ccccc1)C(=O)NC1CCCC(N(CC(O)=O)C1=O)(C)C,44342309,0.012
158,P(O)(=O)(CC(=O)N1CCC[C@H]1C(O)=O)C[C@@H](NC(=O)c1ccccc1)CCc1ccccc1,71462052,0.012
159,OC(=O)[C@H]1N([C@@H]2[C@H](C1)CCCC2)C(=O)CC[C@@H](NC(=O)C(N)CCCCN)C(O)=O,44317098,0.01202
160,O(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)N[C@H](CCC(=O)N1CCC[C@H]1C(O)=O)C(O)=O,44316849,0.01202
161,SCC(C(=O)N1c2c(CC1C(O)=O)cccc2)C,494324,0.01259
162,S1CCSC12CC(N(C2)C(=O)CP(O)(=O)CCCCc1ccccc1)C(O)=O,13136851,0.01259
163,S1C[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N(c2c1cccc2)CC(O)=O,15380813,0.013
164,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](Oc2c(N(CC(O)=O)C1=O)cccc2)C,44296036,0.013
165,O=C1N(c2c(CC[C@@H]1N[C@@H](Cc1c3c([nH]c1)cccc3)C(O)=O)cccc2)CC(O)=O,44288065,0.013
166,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OCc1ccccc1)=O)C(O)=O)cccc2)CC(O)=O,13339952,0.013
167,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c2c(ccc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376705,0.014
168,S1C[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N(c2c1cccc2)CCC(O)=O,44295879,0.014
169,S[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N(CC(O)=O)c1ccccc1)C,44295966,0.014
170,O(C(CCc1ccccc1)C(OCC)=O)C(C(=O)N1Cc2c(CC1C(O)=O)cccc2)C,44459680,0.014
171,O(Cc1ccccc1)C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1cccnc1,44384730,0.015
172,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OCc1ccccc1)=O)C(OCC)=O)cccc2)CC(O)=O,13500752,0.015
173,S(CCCc1ccc(cc1)C(C)C)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586819,0.015
174,Clc1ccccc1N1c2c(cccc2)\C(=N\C(=S)NCc2cc3c(cc2O)cccc3)\C1=O,145958042,0.01511
175,O(Cc1ccccc1)C(=O)N1CCCC1C(=O)N[C@H](CCC(=O)N1[C@@H]2[C@H](C[C@H]1C(O)=O)CCCC2)C(O)=O,44317022,0.01514
176,P(O[C@@H](CCCCN)C(=O)N1C[C@@H](O)C[C@H]1C(O)=O)(O)(=O)CCCCc1ccccc1,14630771,0.01585
177,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N(N(CC(O)=O)C1=O)C,44305391,0.016000001
178,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCN(N(CC(O)=O)C1=O)C,44305121,0.016000001
179,S1C[C@H](NC(=O)[C@H](Cc2ccccc2)CS)C(=O)N(c2c1cccc2)CC(O)=O,15380810,0.017000001
180,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CNC(=O)c1ccccc1)C(O)=O)C,54082602,0.017000001
181,S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(=O)N1CCC[C@H]1C(O)=O,44376704,0.017999999
182,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](Oc2c(N(CCC(O)=O)C1=O)cccc2)C,44296019,0.017999999
183,SCC(Cc1ccccc1)C(=O)N[C@@H]1C[C@H](N(C1)C(=O)[C@@H](CS)C)C(O)=O,44323192,0.017999999
184,SCC(C(=O)N1Cc2c(CC1C(O)=O)cccc2)C,12942866,0.017999999
185,S=C(\N=C/1\c2c(N(C\1=O)c1ccccc1)cccc2)NCc1cc2c(cc1O)cccc2,145953611,0.01897
186,O=C1N(CCCCC1NC(CCc1ccccc1)C(O)=O)CC(O)=O,13749498,0.018999999
187,Clc1nc(n(Cc2ccc(cc2)-c2ccccc2-c2nn[nH]n2)c1CO)CCCC,3961,0.018999999
188,S(CCc1ccc(cc1)C(C)C)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586818,0.018999999
189,S1CC(N(C(=O)CCS)C1c1ccccc1O)C(O)=O,122113,0.019950001
190,SC[C@H](C(=O)N1Cc2c(C[C@H]1C(O)=O)cccc2)C,12942868,0.019950001
191,O1CCCC1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(O)=O,44385628,0.02
192,S[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)N2N([C@@H](CC2)C(O)=O)C1=O,44305173,0.02
193,S(Cc1ccc(cc1)CC)C[C@H](NC(=O)[C@@H](CS)C)C(O)=O,44581584,0.021
194,OC(=O)[C@@H](NC(=O)C(N[C@H](C(O)=O)C)[C@H](CC)C)Cc1ccc(cc1)-c1ccccc1,44324831,0.022
