Experimental inhibitory activities against 3CLpro,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
191,S=C1NC(C(C(OC)=O)=C(N1)C)c1oc(cc1)-c1ccccc1C(OC)=O,3992501,1
192,Clc1cc(N2C(=O)C3C(CCC(C3)C)C2=O)c(OC(=O)c2occc2)cc1,2939288,1
193,BrC=1C=C(C(=O)\C=C\c2cc3OCOc3cc2)C(=O)C(NC)=CC=1,7314640,1
194,O(CCOC)C(=O)/C(=C/c1cn(nc1-c1cccnc1)Cc1ccccc1)/C#N,2078638,1
195,s1c(nnc1S(=O)(=O)Nc1cc(ccc1)C)NC(=O)c1cc(ccc1)C,16017527,1
196,O(C(C)C)CCCNC(=O)CCc1n2N=C(N3CCC(CC3)C)C=Cc2nn1,20903731,1
197,Fc1ccccc1C1N(Cc2occc2)C(=O)c2[nH]nc(c12)-c1ccccc1O,666722,1
198,O=C1Nc2c(cccc2)C(=C1)C(=O)N[C@H](Cc1c2c([nH]c1)cccc2)C(OC)=O,2410199,1
199,S=C(Nc1cc(ccc1)C(O)=O)NC(=O)C(c1ccccc1)c1ccccc1,1327906,1
200,FC(F)(F)c1cc2[n+]([O-])n(CCC(=O)N)c(c2cc1)C(=O)c1ccc(cc1)C,24817263,1
201,Fc1cc2CCC(N(c2cc1)CC(=O)N1CCc2[nH]c3c(cc(cc3)C)c2C1)C,4371580,1
202,Clc1cc(ccc1Cl)C(=O)N\N=C(/C)\c1cc(NC(=O)C(C)C)ccc1,9563955,1
203,S(=O)(=O)(N1CCCCC1)c1ccc(OCC(=O)Nc2ccccc2F)cc1,2229132,1
204,S1C(CC)C(=O)N(CC(=O)Nc2ccc(cc2)C(OCC)=O)C(=O)C1CC,3257857,1
205,O(C)c1ccccc1N1CCN(CC1)CC(O)COc1c2c(ccc1)cccc2,4418,1
206,ClCC(=O)N1CCN(CC1)c1nc(nc2sc3CC(CCc3c12)C)CC,3192987,1
207,Clc1cc(cc(Cl)c1N)C(=O)c1n([n+]([O-])c2c1cccc2)CCC(=O)N,24817255,1
208,Brc1cc2c3c([nH]c2cc1)CCN(C3)C(=O)CN1CCSCC1,659929,1
209,s1cccc1CN1C(=O)C(N2CCN(CC2)C\C=C\c2ccccc2)CC1=O,5741945,1
210,s1nc(S(=O)(=O)\C(=N\Nc2cc(ccc2)C(F)(F)F)\C#N)c(C#N)c1C,5918347,1
211,s1cccc1-c1c2c(sc1)N=CN(NC(=O)c1ccc(OC)cc1O)C2=O,2097351,1
212,O(C)c1cc(cc(OC)c1)CNCCc1c2c([nH]c1)cccc2.OC(=O)C(O)=O,24762071,1
213,ClCC(=O)N1N=C(CC1c1cc(OC)c(OC(F)F)cc1)c1sccc1,3859741,1
214,Clc1ccc(S(=O)(=O)NCC(Nc2ccc(cc2)C)c2ccccc2)cc1,2898209,1
215,Brc1ccc(N(C(=O)c2occc2)Cc2ccc([N+](=O)[O-])cc2)cc1,1117371,1
216,FC(F)(F)c1cc(N2CCN(CC2)C(=O)C2=CC(=O)Nc3c2cccc3)ccc1,2449860,1
217,S(CC(=O)Nc1cc(S(=O)(=O)N(C)C)ccc1)c1c2ncccc2ccc1,3475954,1
218,o1c2c(c3CN(COc3c3c2cccc3)Cc2ncccc2)c(C(OCC)=O)c1C,1189783,1
219,S\1\C(=C\c2cc3OCOc3cc2)\C(=O)N/C/1=N/S(=O)(=O)Cc1ccccc1,135845989,1
220,s1c(C)c(CC)c(C(=O)N2CCOCC2)c1NC(=O)Cc1ccccc1OC,6470683,1
221,FC(F)(F)c1cc(OCc2onc(c2)C(=O)N(CCc2ccccc2)C)ccc1,24791306,1
222,S1\C(=C/c2sccc2)\C(=O)N(CC(=O)Nc2cc(O)c(cc2)C(O)=O)C1=O,6225958,1
223,s1c2cc(n(c2cc1)CC(=O)Nc1ccc(OC)c(OC)c1OC)C(OC)=O,3245569,1
224,S(=O)(=O)(N1CCN(CC1)C(=O)Nc1ccccc1OC)c1ccc(OC)cc1,17379494,1
225,Clc1ccc(N2C(=O)C(S\C(=N\N=C(/C)\c3sccc3)\N)CC2=O)cc1,9566932,1
226,Clc1cc(N2C(=O)C(S\C(=N\N=C(/C)\c3sccc3)\N)CC2=O)ccc1,9566958,1
227,o1cccc1CNC(=O)CN1C(=O)C(NC1=O)(C)c1cc2c(cc(OC)cc2)cc1,2998767,1
228,Clc1ccc(cc1)-c1oc(NC)c(P(=O)(c2ccccc2)c2ccccc2)n1,3962842,1
229,Clc1ccc(cc1)C(=O)Nc1sc(S(=O)(=O)Nc2cc(ccc2)C)nn1,22517479,1
230,s1c(nnc1SCc1ccc(cc1)C#N)NC(=O)c1cc2scnc2cc1,2452051,1
231,Brc1cc(C(=O)\C=C\c2ccc(cc2)C)c(OC(=O)c2occc2)cc1,5735038,1
232,FC(F)(F)c1cc(NC(=O)c2ccccc2O)ccc1OCC(F)(F)C(F)F,2294766,1
233,S(=O)(=O)(Nc1nn(c2nc3c(cc12)cccc3C)CC)c1ccc([N+](=O)[O-])cc1,4910360,1
234,S(=O)(=O)(C(F)F)c1cc(NC(=S)N2CCN(CC2)c2ccccc2)ccc1,2147111,1
235,O(C(=O)CCc1c2c([nH]c1)cccc2)CC(=O)NC(c1ccccc1)c1ccccc1,2106192,1
236,s1c(C(O)(C(F)(F)F)C(F)(F)F)c(-c2ccccc2)c(C(OCC)=O)c1N,2320755,1
